Type,Serial Number,Manufacturer,Master Series,Registration,Status,Age,Operator,Manager,Owner,Owner State,Engine Type,Engine Series,Country/Subregion of Registration,Order ID,Base Airport City,Base Airport Name,Base Airport State,Operated For
737 Max,61329,Boeing,737 Max 8,N702F,In Service,6.2,F & L Aviation III LLC,F & L Aviation III LLC,JM Ventures Trust,Delaware,LEAP,LEAP-1B,United States,99182,Medford,Rogue Valley International-Medford Airport,Oregon,
737 NG,28579,Boeing,737-700,N737LE,In Service,24.9,Polaris Aviation Solutions,Polaris Aviation Solutions,AA 737 LLC,New York,CFM56,CFM56-7B,United States,55888,New Windsor,Stewart International Airport,New York,Turnberry Investment Group
737 NG,28581,Boeing,737-700,N43PR,In Service,25.6,The Town & Country Food Markets Inc,The Town & Country Food Markets Inc,The Town & Country Food Markets Inc,Kansas,CFM56,CFM56-7B,United States,55888,Wichita,Wichita Dwight D. Eisenhower National Airport,Kansas,
737 NG,29024,Boeing,737-700,N480CH,In Service,25.6,Crescent Heights of America Inc,Crescent Heights of America Inc,N480CH LLC,Florida,CFM56,CFM56-7B,United States,57790,Van Nuys,Los Angeles - Van Nuys,California,
737 NG,29054,Boeing,737-700,N889LS,In Service,25.6,Las Vegas Sands Corp,Las Vegas Sands Corp,Las Vegas Sands Corp,Nevada,CFM56,CFM56-7B,United States,57784,Las Vegas,Las Vegas Harry Reid International Airport,Nevada,
737 NG,29273,Boeing,737-700,N101TD,In Service,25.5,Bopper Airways LLC,Bopper Airways LLC,Bopper Airways LLC,Indiana,CFM56,CFM56-7B,United States,57788,Indianapolis,Indianapolis International Airport,Indiana,
737 NG,29749,Boeing,737-700,N888TY,In Service,24.4,TY Air Inc,TY Air Inc,TY Air Inc,Delaware,CFM56,CFM56-7B,United States,61263,West Chicago,Chicago DuPage,Illinois,
737 NG,29866,Boeing,737-700,N835BZ,Storage,24.6,Jet Edge,Jet Edge,Jet Force V LLC,California,CFM56,CFM56-7B,United States,59248,Brunswick,Brunswick Golden Islands Airport,Georgia,
737 NG,30329,Boeing,737-700,N162WC,In Service,24.7,The Washington Companies,The Washington Companies,WCA Holdings III LLC,Montana,CFM56,CFM56-7B,United States,61448,Everett,Paine Field - Snohomish County Airport,Washington,
737 NG,30330,Boeing,737-700,9H-ELF,In Service,24.6,Air X Charter,Air X Charter,Elil LLC,Delaware,CFM56,CFM56-7B,Malta,69149,Dubai,Al Maktoum International,,
737 NG,30496,Boeing,737-700,N737AG,In Service,25.0,Funair Corp,Funair Corp,Funair Corp,Florida,CFM56,CFM56-7B,United States,61452,Miami,Miami International Airport,Florida,
737 NG,30572,Boeing,737-700,N737JB,In Service,24.3,WI BBJ LLC,WI BBJ LLC,WI BBJ LLC,Wisconsin,CFM56,CFM56-7B,United States,64096,Lake Charles,Lake Charles Chennault International Airport,Louisiana,
737 NG,30751,Boeing,737-700,N950TR,In Service,24.6,Silver Air,Silver Air,Ohio Resources LLC,Delaware,CFM56,CFM56-7B,United States,57786,West Palm Beach,Palm Beach International Airport,Florida,
737 NG,30772,Boeing,737-700,N315TS,In Service,24.1,Tutor-Saliba Corp,Tutor-Saliba Corp,Tutor-Saliba Corp,California,CFM56,CFM56-7B,United States,61445,Van Nuys,Los Angeles - Van Nuys,California,
737 NG,30782,Boeing,737-700,N800KS,In Service,24.0,AEJ Services LLC,AEJ Services LLC,AEJ Services LLC,California,CFM56,CFM56-7B,United States,65674,Van Nuys,Los Angeles - Van Nuys,California,
737 NG,30790,Boeing,737-700,A36-002,In Service,23.9,Royal Australian Air Force,Royal Australian Air Force,General Electric Capital International Holdings Co,Connecticut,CFM56,CFM56-7B,Australia,66229,Canberra,Canberra Airport,Australian Capital Territory,
737 NG,30829,Boeing,737-700,A36-001,In Service,23.5,Royal Australian Air Force,Royal Australian Air Force,General Electric Capital International Holdings Co,Connecticut,CFM56,CFM56-7B,Australia,66229,Canberra,Canberra Airport,Australian Capital Territory,
737 NG,30884,Boeing,737-700,N707J,In Service,23.4,Jetran,Jetran,Spectre Air Capital LLC,Texas,CFM56,CFM56-7B,United States,71431,,,,
737 NG,32628,Boeing,737-700,N7600K,In Service,22.7,SAS Institute Inc,SAS Institute Inc,SAS Institute Inc,North Carolina,CFM56,CFM56-7B,United States,69146,Morrisville,Raleigh-Durham International Airport,North Carolina,
737 NG,32775,Boeing,737-700,N885LS,In Service,22.9,Las Vegas Sands Corp,Las Vegas Sands Corp,Las Vegas Sands Corp,Nevada,CFM56,CFM56-7B,United States,67390,Las Vegas,Las Vegas Harry Reid International Airport,Nevada,
737 NG,32807,Boeing,737-700,N8767,In Service,22.8,Avjet Corp,Avjet Corp,Star Aviation Inc,California,CFM56,CFM56-7B,United States,66256,,,,
737 NG,33010,Boeing,737-700,N324CH,In Service,22.5,Crescent Heights of America Inc,Crescent Heights of America Inc,N324CH LLC,Florida,CFM56,CFM56-7B,United States,67681,Opa Locka,Opa Locka,Florida,
737 NG,33102,Boeing,737-700,N108MS,In Service,22.1,Las Vegas Sands Corp,Las Vegas Sands Corp,YONA Aviation II LLC,Nevada,CFM56,CFM56-7B,United States,68907,Las Vegas,Las Vegas Harry Reid International Airport,Nevada,
737 NG,36852,Boeing,737-700,N213EM,In Service,16.4,Innovation First Research And Development Inc,Innovation First Research And Development Inc,Innovation First Research And Development Inc,Texas,CFM56,CFM56-7B,United States,77365,Greenville,Majors Field,Texas,
737 NG,42510,Boeing,737-800,N889CL,In Service,11.0,Pasaca Capital Inc,Pasaca Capital Inc,Pasaca Capital Inc,California,CFM56,CFM56-7B,United States,84052,Ardmore,Ardmore Municipal Airport,Oklahoma,
A319,0910,Airbus,A319,VQ-BMS,In Service,25.0,Las Vegas Sands Corp,Las Vegas Sands Corp,Las Vegas Sands Corp,Nevada,V2500,V2527,Bermuda,61293,Las Vegas,Las Vegas Harry Reid International Airport,Nevada,
A319,1589,Airbus,A319,VP-BMH,Storage,22.6,Las Vegas Sands Corp,Las Vegas Sands Corp,Las Vegas Sands Corp,Nevada,V2500,V2527,Bermuda,67608,San Bernardino,San Bernardino International,California,
A319,1999,Airbus,A319,VH-VHD,In Service,20.9,Skytraders,Avolon,Aircraft Msn 1999 Trust,Utah,CFM56,CFM56-5B,Australia,65820,Tullamarine,Melbourne Tullamarine Airport,Victoria,Government of Australia
A319,2748,Airbus,A319,N3618F,In Service,18.1,Frost Administrative Service,PharmAir Corp,PharmAir Corp,Florida,CFM56,CFM56-5B,United States,76149,Opa Locka,Opa Locka,Florida,
A319,3542,Airbus,A319,TC-VHZ,In Service,16.0,Zafer Air,Zafer Air,Altitude 51 Inc,Connecticut,CFM56,CFM56-5B,Turkiye,80819,Ankara,Ankara Esenboga International Airport,,
A340,560,Airbus,A340-500,VP-BMS,In Service,20.2,Las Vegas Sands Corp,Las Vegas Sands Corp,Las Vegas Sands Corp,Nevada,Trent,Trent 553,Bermuda,61731,Las Vegas,Las Vegas Harry Reid International Airport,Nevada,
Aerostar,60-0013-17,Aerostar Aircraft Corporation,Aerostar 600,N600ED,In Service,6.1,JBFLY LLC,JBFLY LLC,JBFLY LLC,South Carolina,IO-540,IO-540,United States,,Hilton Head Island,Hilton Head Airport,South Carolina,
Aerostar,60-0016-27,Aerostar Aircraft Corporation,Aerostar 600,N7411S,In Service,22.7,Aerostar LLC,Aerostar LLC,Aerostar LLC,North Carolina,IO-540,IO-540,United States,,Fletcher,Asheville Regional Airport,North Carolina,
Aerostar,60-0018-32,Aerostar Aircraft Corporation,Aerostar 600,N600R,In Service,5.9,Savanna Lakes LLC,Savanna Lakes LLC,Savanna Lakes LLC,Delaware,IO-540,IO-540,United States,,Lehigh Acres,LeHigh Acres,Florida,
Aerostar,60-0030-61,Aerostar Aircraft Corporation,Aerostar 600,N60GW,In Service,7.2,Juliet Delta Aviation,Juliet Delta Aviation,Juliet Delta Aviation,Pennsylvania,IO-540,IO-540,United States,,New Cumberland,,Pennsylvania,
Aerostar,60-0039-88,Aerostar Aircraft Corporation,Aerostar 600,N409JB,In Service,13.0,Penstar Partners LLC,Penstar Partners LLC,Penstar Partners LLC,Delaware,IO-540,IO-540,United States,,,,,
Aerostar,60-0056-128,Aerostar Aircraft Corporation,Aerostar 600,N7509S,In Service,17.1,Blueskys Inc,Blueskys Inc,Blueskys Inc,Delaware,IO-540,IO-540,United States,,,,,
Aerostar,60-0143-063,Aerostar Aircraft Corporation,Aerostar 600,N666BB,In Service,50.9,Affordable Home Solutions LLC,Affordable Home Solutions LLC,Affordable Home Solutions LLC,Delaware,IO-540,IO-540,United States,,Dover,,Delaware,
Aerostar,60-0165-073,Aerostar Aircraft Corporation,Aerostar 600,N7533S,In Service,17.7,D & T Wilson Co Inc,D & T Wilson Co Inc,D & T Wilson Co Inc,Indiana,IO-540,IO-540,United States,,,,,
Aerostar,60-0182-080,Aerostar Aircraft Corporation,Aerostar 600,N60VB,In Service,6.3,VVS Implements LLC,VVS Implements LLC,VVS Implements LLC,Delaware,IO-540,IO-540,United States,,Wilmington,,Delaware,
Aerostar,60-0185-082,Aerostar Aircraft Corporation,Aerostar 600,N21VT,In Service,15.6,CLE Aviation LLC,CLE Aviation LLC,CLE Aviation LLC,Florida,IO-540,IO-540,United States,,,,,
